2000,Australia,0.71
2001,Australia,0.82
2002,Australia,0.87
2003,Australia,0.90
2004,Australia,0.94
2005,Australia,1.05
2006,Australia,1.16
2007,Australia,1.28
2008,Australia,1.37
2009,Australia,1.29
2010,Australia,1.27
2011,Australia,1.22
2012,Australia,0
2013,Australia,1.18
2014,Australia,0
2015,Australia,1.00
2016,Australia,0
2017,Australia,0
2000,Austria,0
2001,Austria,0
2002,Austria,1.38
2003,Austria,0
2004,Austria,1.47
2005,Austria,1.66
2006,Austria,1.66
2007,Austria,1.71
2008,Austria,1.78
2009,Austria,1.77
2010,Austria,1.87
2011,Austria,1.84
2012,Austria,2.05
2013,Austria,2.09
2014,Austria,2.19
2015,Austria,2.18
2016,Austria,2.20
2017,Austria,0
2000,Belgium,1.39
2001,Belgium,1.48
2002,Belgium,1.33
2003,Belgium,1.28
2004,Belgium,1.25
2005,Belgium,1.21
2006,Belgium,1.26
2007,Belgium,1.28
2008,Belgium,1.31
2009,Belgium,1.31
2010,Belgium,1.38
2011,Belgium,1.48
2012,Belgium,1.59
2013,Belgium,1.62
2014,Belgium,1.67
2015,Belgium,1.72
2016,Belgium,1.73
2017,Belgium,0
2000,Canada,1.12
2001,Canada,1.25
2002,Canada,1.14
2003,Canada,1.13
2004,Canada,1.14
2005,Canada,1.10
2006,Canada,1.10
2007,Canada,1.06
2008,Canada,1.01
2009,Canada,1.02
2010,Canada,0.95
2011,Canada,0.95
2012,Canada,0.92
2013,Canada,0.87
2014,Canada,0.91
2015,Canada,0.86
2016,Canada,0.82
2017,Canada,0.78
2000,Chile,0
2001,Chile,0
2002,Chile,0
2003,Chile,0
2004,Chile,0
2005,Chile,0
2006,Chile,0
2007,Chile,0.11
2008,Chile,0.15
2009,Chile,0.10
2010,Chile,0.10
2011,Chile,0.12
2012,Chile,0.12
2013,Chile,0.14
2014,Chile,0.12
2015,Chile,0.13
2016,Chile,0.14
2017,Chile,0
2000,CzechRepublic,0.67
2001,CzechRepublic,0.66
2002,CzechRepublic,0.67
2003,CzechRepublic,0.70
2004,CzechRepublic,0.72
2005,CzechRepublic,0.68
2006,CzechRepublic,0.72
2007,CzechRepublic,0.75
2008,CzechRepublic,0.71
2009,CzechRepublic,0.72
2010,CzechRepublic,0.77
2011,CzechRepublic,0.86
2012,CzechRepublic,0.96
2013,CzechRepublic,1.03
2014,CzechRepublic,1.10
2015,CzechRepublic,1.05
2016,CzechRepublic,1.03
2017,CzechRepublic,0
2000,Denmark,0
2001,Denmark,1.59
2002,Denmark,1.69
2003,Denmark,1.74
2004,Denmark,1.65
2005,Denmark,1.63
